id,domain,question_type,question,answer,numeric_answer,split
trdab_reason_000126,transportation,ratio,"2023 yılında yolcu sayısı, sefer sayısı'nin yaklaşık kaç katıdır?","2023 yılında yolcu sayısı, sefer sayısı'nin yaklaşık 28,01 katıdır.",28.01,train
trdab_reason_000127,economy,cagr,"ihracat değeri için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,40.",-6.4,train
trdab_reason_000128,economy,fastest_change_year,ihracat değeri bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2017 yılında olmuştur.,2017,train
trdab_reason_000129,economy,longest_increase_streak,ihracat değeri bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000130,economy,conditional_average,ihracat değeri değerinin 229 milyon dolar değerinden büyük olduğu yıllardaki ortalama ihracat değeri kaçtır?,Bu yıllardaki ortalama yaklaşık 269 milyon dolar.,269.0,train
trdab_reason_000131,economy,share_of_total,Tüm yılların toplam ihracat değeri değeri içinde 2022 yılının payı yaklaşık yüzde kaçtır?,"2022 yılının payı yaklaşık %11,40.",11.4,train
trdab_reason_000132,economy,ratio,"2020 yılında ihracat değeri, ithalat değeri'nin yaklaşık kaç katıdır?","2020 yılında ihracat değeri, ithalat değeri'nin yaklaşık 0,88 katıdır.",0.88,train
trdab_reason_000133,education,cagr,"öğrenci sayısı için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %0,40.",0.4,train
trdab_reason_000134,education,fastest_change_year,öğrenci sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2018 yılında olmuştur.,2018,train
trdab_reason_000135,education,longest_increase_streak,öğrenci sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,train
trdab_reason_000136,education,conditional_average,öğrenci sayısı değerinin 24.232 öğrenci değerinden büyük olduğu yıllardaki ortalama öğrenci sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 26.051,80 öğrenci.",26051.8,train
trdab_reason_000137,education,share_of_total,Tüm yılların toplam öğrenci sayısı değeri içinde 2020 yılının payı yaklaşık yüzde kaçtır?,2020 yılının payı yaklaşık %15.,15.0,train
trdab_reason_000138,education,ratio,"2022 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık kaç katıdır?","2022 yılında öğrenci sayısı, öğretmen sayısı'nin yaklaşık 12,05 katıdır.",12.05,train
trdab_reason_000139,tourism,cagr,"ziyaretçi sayısı için 2018-2024 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %6,20.",-6.2,train
trdab_reason_000140,tourism,fastest_change_year,ziyaretçi sayısı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,train
trdab_reason_000141,tourism,longest_increase_streak,ziyaretçi sayısı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,train
trdab_reason_000142,tourism,conditional_average,ziyaretçi sayısı değerinin 761.453 kişi değerinden büyük olduğu yıllardaki ortalama ziyaretçi sayısı kaçtır?,"Bu yıllardaki ortalama yaklaşık 905.048,80 kişi.",905048.8,train
trdab_reason_000143,tourism,share_of_total,Tüm yılların toplam ziyaretçi sayısı değeri içinde 2023 yılının payı yaklaşık yüzde kaçtır?,"2023 yılının payı yaklaşık %12,30.",12.3,train
trdab_reason_000144,tourism,ratio,"2024 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık kaç katıdır?","2024 yılında ziyaretçi sayısı, konaklama sayısı'nin yaklaşık 0,43 katıdır.",0.43,train
trdab_reason_000145,energy,cagr,"elektrik tüketimi için 2016-2021 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %0,70.",-0.7,validation
trdab_reason_000146,energy,fastest_change_year,elektrik tüketimi bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2020 yılında olmuştur.,2020,validation
trdab_reason_000147,energy,longest_increase_streak,elektrik tüketimi bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 2 yıldır.,2,validation
trdab_reason_000148,energy,conditional_average,elektrik tüketimi değerinin 88.538 MWh değerinden büyük olduğu yıllardaki ortalama elektrik tüketimi kaçtır?,Bu yıllardaki ortalama yaklaşık 91.695 MWh.,91695.0,validation
trdab_reason_000149,energy,share_of_total,Tüm yılların toplam elektrik tüketimi değeri içinde 2019 yılının payı yaklaşık yüzde kaçtır?,"2019 yılının payı yaklaşık %15,60.",15.6,validation
trdab_reason_000150,energy,ratio,"2021 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık kaç katıdır?","2021 yılında elektrik tüketimi, doğal gaz tüketimi'nin yaklaşık 0,24 katıdır.",0.24,validation
trdab_reason_000151,health,cagr,"hastane başvurusu için 2017-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.",CAGR yaklaşık %5.,-5.0,validation
trdab_reason_000152,health,fastest_change_year,hastane başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,validation
trdab_reason_000153,health,longest_increase_streak,hastane başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,validation
trdab_reason_000154,health,conditional_average,hastane başvurusu değerinin 366.904 başvuru değerinden büyük olduğu yıllardaki ortalama hastane başvurusu kaçtır?,"Bu yıllardaki ortalama yaklaşık 410.893,80 başvuru.",410893.8,validation
trdab_reason_000155,health,share_of_total,Tüm yılların toplam hastane başvurusu değeri içinde 2018 yılının payı yaklaşık yüzde kaçtır?,"2018 yılının payı yaklaşık %15,60.",15.6,validation
trdab_reason_000156,health,ratio,"2020 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık kaç katıdır?","2020 yılında hastane başvurusu, ameliyat sayısı'nin yaklaşık 13,84 katıdır.",13.84,validation
trdab_reason_000157,environment,cagr,"geri dönüşüm için 2016-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %0,70.",-0.7,validation
trdab_reason_000158,environment,fastest_change_year,geri dönüşüm bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2018 yılında olmuştur.,2018,validation
trdab_reason_000159,environment,longest_increase_streak,geri dönüşüm bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,validation
trdab_reason_000160,environment,conditional_average,geri dönüşüm değerinin 7.732 ton değerinden büyük olduğu yıllardaki ortalama geri dönüşüm kaçtır?,"Bu yıllardaki ortalama yaklaşık 8.435,20 ton.",8435.2,validation
trdab_reason_000161,environment,share_of_total,Tüm yılların toplam geri dönüşüm değeri içinde 2016 yılının payı yaklaşık yüzde kaçtır?,"2016 yılının payı yaklaşık %14,40.",14.4,validation
trdab_reason_000162,environment,ratio,"2016 yılında geri dönüşüm, toplam atık'nin yaklaşık kaç katıdır?","2016 yılında geri dönüşüm, toplam atık'nin yaklaşık 0,20 katıdır.",0.2,validation
trdab_reason_000163,sports,cagr,"tesis kullanımı için 2018-2023 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %1,60.",-1.6,test
trdab_reason_000164,sports,fastest_change_year,tesis kullanımı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2022 yılında olmuştur.,2022,test
trdab_reason_000165,sports,longest_increase_streak,tesis kullanımı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,test
trdab_reason_000166,sports,conditional_average,tesis kullanımı değerinin 44.122 kullanım değerinden büyük olduğu yıllardaki ortalama tesis kullanımı kaçtır?,"Bu yıllardaki ortalama yaklaşık 47.590,70 kullanım.",47590.7,test
trdab_reason_000167,sports,share_of_total,Tüm yılların toplam tesis kullanımı değeri içinde 2023 yılının payı yaklaşık yüzde kaçtır?,"2023 yılının payı yaklaşık %16,50.",16.5,test
trdab_reason_000168,sports,ratio,"2020 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık kaç katıdır?","2020 yılında tesis kullanımı, lisanslı sporcu'nin yaklaşık 3,14 katıdır.",3.14,test
trdab_reason_000169,municipality,cagr,"hizmet başvurusu için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %5,10.",-5.1,test
trdab_reason_000170,municipality,fastest_change_year,hizmet başvurusu bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2018 yılında olmuştur.,2018,test
trdab_reason_000171,municipality,longest_increase_streak,hizmet başvurusu bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 0 yıldır.,0,test
trdab_reason_000172,municipality,conditional_average,hizmet başvurusu değerinin 83.453 başvuru değerinden büyük olduğu yıllardaki ortalama hizmet başvurusu kaçtır?,Bu yıllardaki ortalama yaklaşık 92.639 başvuru.,92639.0,test
trdab_reason_000173,municipality,share_of_total,Tüm yılların toplam hizmet başvurusu değeri içinde 2021 yılının payı yaklaşık yüzde kaçtır?,"2021 yılının payı yaklaşık %15,40.",15.4,test
trdab_reason_000174,municipality,ratio,"2021 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık kaç katıdır?","2021 yılında hizmet başvurusu, çözülen başvuru'nin yaklaşık 1,04 katıdır.",1.04,test
trdab_reason_000175,agriculture,cagr,"üretim miktarı için 2017-2022 arasındaki bileşik yıllık büyüme oranı (CAGR) yaklaşık yüzde kaçtır? Artış için pozitif, azalış için negatif değer ver.","CAGR yaklaşık %4,30.",-4.3,test
trdab_reason_000176,agriculture,fastest_change_year,üretim miktarı bir önceki yıla göre en çok hangi yılda artmıştır? Cevap olarak sadece yılı yaz.,En büyük yıllık artış 2019 yılında olmuştur.,2019,test
trdab_reason_000177,agriculture,longest_increase_streak,üretim miktarı bir önceki yıla göre art arda en fazla kaç kez artmıştır (en uzun kesintisiz artış serisi)? Cevap olarak sadece sayıyı yaz.,En uzun kesintisiz artış serisi 1 yıldır.,1,test
trdab_reason_000178,agriculture,conditional_average,üretim miktarı değerinin 151.004 ton değerinden büyük olduğu yıllardaki ortalama üretim miktarı kaçtır?,"Bu yıllardaki ortalama yaklaşık 163.320,70 ton.",163320.7,test
trdab_reason_000179,agriculture,share_of_total,Tüm yılların toplam üretim miktarı değeri içinde 2017 yılının payı yaklaşık yüzde kaçtır?,"2017 yılının payı yaklaşık %17,80.",17.8,test
trdab_reason_000180,agriculture,ratio,"2018 yılında üretim miktarı, ekili alan'nin yaklaşık kaç katıdır?","2018 yılında üretim miktarı, ekili alan'nin yaklaşık 3,89 katıdır.",3.89,test
