id,domain,question_type,question,numeric_answer,split
trdab_chard_000164,sports,second_highest_year,Grafiğe göre amatör lisans en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2012.0,test
trdab_chard_000165,sports,count_above,Grafiğe göre kaç yılda amatör lisans 17.592 sporcu değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,test
trdab_chard_000166,sports,closest_compare,Grafiğe göre 2012 ve 2013 yıllarından hangisinde amatör lisans daha yüksektir? Cevap olarak sadece yılı yaz.,2013.0,test
trdab_chard_000167,sports,cross_closest_year,Grafiğe göre amatör lisans ile yıldız lisans hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2021.0,test
trdab_chard_000168,sports,trend_summary,"Grafiğe göre amatör lisans için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,test
trdab_chard_000169,municipality,value_estimate,Grafiğe göre 2016 yılında açılan başvuru yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,82072.0,test
trdab_chard_000170,municipality,second_highest_year,Grafiğe göre açılan başvuru en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2024.0,test
trdab_chard_000171,municipality,count_above,Grafiğe göre kaç yılda açılan başvuru 90.000 başvuru değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,test
trdab_chard_000172,municipality,closest_compare,Grafiğe göre 2021 ve 2022 yıllarından hangisinde açılan başvuru daha yüksektir? Cevap olarak sadece yılı yaz.,2022.0,test
trdab_chard_000173,municipality,cross_closest_year,Grafiğe göre açılan başvuru ile çözülen başvuru hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2018.0,test
trdab_chard_000174,municipality,trend_summary,"Grafiğe göre açılan başvuru için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,test
trdab_chard_000175,agriculture,value_estimate,Grafiğe göre 2018 yılında buğday üretimi yaklaşık kaçtır? Cevap olarak sadece sayıyı yaz.,183660.0,test
trdab_chard_000176,agriculture,second_highest_year,Grafiğe göre buğday üretimi en yüksek 2. değerine hangi yılda ulaşmıştır? Cevap olarak sadece yılı yaz.,2012.0,test
trdab_chard_000177,agriculture,count_above,Grafiğe göre kaç yılda buğday üretimi 191.910 ton değerinin üzerindedir? Cevap olarak sadece sayıyı yaz.,6.0,test
trdab_chard_000178,agriculture,closest_compare,Grafiğe göre 2016 ve 2017 yıllarından hangisinde buğday üretimi daha yüksektir? Cevap olarak sadece yılı yaz.,2016.0,test
trdab_chard_000179,agriculture,cross_closest_year,Grafiğe göre buğday üretimi ile arpa üretimi hangi yılda birbirine en yakındır? Cevap olarak sadece yılı yaz.,2018.0,test
trdab_chard_000180,agriculture,trend_summary,"Grafiğe göre buğday üretimi için genel eğilim nedir? Cevabı tek kelimeyle ver: artış, azalış veya dalgalı.",,test
